HQ ID,Ecosystem Area,Asset Type,Asset / Idea,Topic / Cluster,Primary Channel,Secondary Channels,Format,Stage,Priority,Next Action,Blocked By,Owner,Calendar Use,Publish URL,Source / Evidence,Notes,Short Description,Seasonality,Planning Month,Target Publish Date,Susy Input,Last Updated,Last Posted Date,Last Checked,Metric Snapshot,Work Date,Pillar,Audience,CTA / Goal,Copy / Captions,Examples,Affiliate Angle,Missing / Incomplete Items,Last Optimized Date,Canva Design URL,Canva Template URL,Visual Asset Status
BW-HQ-001,System,Operating System,Bloom Whispers Content HQ,All,Codex,"Spreadsheet, Dashboard",Tracker,In Production,P0 - active this week,Create first tracker and use it as weekly source of truth,,Codex,Weekly review block,,docs/brands/bloom-whispers/content-hq/bloom-whispers-content-hq.csv,"This tracker is the control room, not another idea graveyard.","This tracker is the control room, not another idea graveyard.",Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-026,Blog,Article,William Morris Marigold Wallpaper,Marigold,Website,"Pinterest, Etsy",Design/history article,Idea Bank,P2 - strong backlog,Create design-history brief with museum sources,Needs article selection,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Strong Bloom Whispers art/design fit.,Strong Bloom Whispers art/design fit.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-027,Blog,Article,"Marigold Uses And Benefits: What Is History, What Needs Care",Marigold,Website,"Pinterest, Affiliate",Safety-sensitive article,Idea Bank,P3 - someday / parking lot,Hold until safety framing is needed,Safety-sensitive,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,No supplement hype.,No supplement hype.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-028,Blog,Article,Calendula Vs Marigold: Which Flower Do Recipes Mean?,Marigold / Calendula,Website,"Pinterest, Affiliate",Explainer article,Idea Bank,P2 - strong backlog,Do food-safety/source pass before drafting,Needs culinary safety sources,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Good confusion-solving article.,Good confusion-solving article.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-029,Blog,Article,"Marigold Magical Properties: Folklore, Sun, Memory, And Protection",Marigold,Website,"Pinterest, Instagram",Folklore article,Idea Bank,P3 - someday / parking lot,"Frame as folklore and reflection, not factual metaphysical claims",Needs careful claims framing,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Do not overclaim.,Do not overclaim.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-030,Blog,Article,Marigold Tattoo Meaning,Marigold,Website,Pinterest,Symbolism article,Idea Bank,P3 - someday / parking lot,Hold for tattoo/search content batch,Needs selection,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,"Memory, sun, grief, return.","Memory, sun, grief, return.",Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-031,Blog,Article,Marigold Decor Ideas,Marigold,Website,"Pinterest, Etsy, Affiliate",Decor article,Idea Bank,P2 - strong backlog,Develop decor/product-safe outline,Needs respect framing,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Could support Etsy and affiliate links.,Could support Etsy and affiliate links.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-032,Blog,Article,Do Marigolds Help In The Garden?,Marigold,Website,Pinterest,Gardening article,Idea Bank,P3 - someday / parking lot,Only pursue after gardening source pass,Needs gardening/science sources,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Lower priority.,Lower priority.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-033,Blog,Article,"Marigold Quotes And Meanings For Captions, Cards, And Altars",Marigold,Website,"Pinterest, Instagram, Etsy",Quote/caption article,Idea Bank,P2 - strong backlog,Create original Bloom Whispers quote bank after main article repurpose,Needs original line review,Codex,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Good social/product support.,Good social/product support.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-034,Blog,Article,Queen Anne's Lace Vs Hemlock,Queen Anne's Lace,Website,Pinterest,Safety explainer,Idea Bank,P1 - next best move,Create safety-first brief with authoritative plant ID caveats,High safety risk,Codex,Schedule only with fact-check block,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,"Valuable, but must not become a casual ID guide.","Valuable, but must not become a casual ID guide.",Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-035,Blog,Article,Why Queen Anne's Lace Has A Purple Dot,Queen Anne's Lace,Website,"Pinterest, Instagram",Satellite article,Idea Bank,P2 - strong backlog,Brief from existing claim matrix,Needs source nuance,Codex,None yet,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,Strongest curiosity object.,Strongest curiosity object.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-036,Blog,Article,Queen Anne's Lace Wedding Meaning And Bouquet Ideas,Queen Anne's Lace,Website,"Pinterest, Affiliate",Wedding article,Idea Bank,P2 - strong backlog,Build wedding/floristry brief,Needs commercial source pass,Codex,None yet,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,Commercial but still on-brand.,Commercial but still on-brand.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-037,Blog,Article,"Queen Anne's Lace Symbolism: Sanctuary, Fantasy, And Folklore",Queen Anne's Lace,Website,"Pinterest, Instagram",Symbolism article,Idea Bank,P3 - someday / parking lot,Hold unless symbolism cluster becomes priority,Needs source caveat,Codex,None yet,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,Fantasy should remain caveated.,Fantasy should remain caveated.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-038,Blog,Article,Queen Anne's Lace Herbal History,Queen Anne's Lace,Website,Pinterest,Historical article,Idea Bank,P3 - someday / parking lot,"Use only as history, not advice",Safety-sensitive,Codex,None yet,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,No herbal recommendation.,No herbal recommendation.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-039,Blog,Article,Queen Anne's Lace In Art Nouveau,Queen Anne's Lace,Website,"Pinterest, Etsy",Design/history article,Idea Bank,P2 - strong backlog,Create Tiffany/art-history brief,Needs selection,Codex,None yet,,docs/brands/bloom-whispers/queen-annes-lace-research-dossier-2026-06-06.md,Strong art/object discovery angle.,Strong art/object discovery angle.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-040,Instagram,Post,Dandelion: You've Probably Made A Wish On One,Dandelion,Instagram,"Pinterest, Blog",Carousel,Ready To Produce,P0 - active this week,Collect or choose iPad raw photos/videos and assemble 8-slide carousel,Needs visual assets from Susy or selected photo source,Susy + Codex,Add iPad production block,,docs/brands/bloom-whispers/content-pipeline/dandelion/instagram-bw-ig-015-dandelion-carousel-brief-2026-08-13.md,Locked cover hook and brief ready.,Locked cover hook and brief ready.,Evergreen,August 2026,,Choose dandelion photos,2026-08-14,,,,,Dandelion,"Instagram followers who like folklore, wishes, and botanical story posts",,,,,,
BW-HQ-041,Instagram,Post,Queen Anne's Lace Meaning: The Flower With A Secret Dark Dot,Queen Anne's Lace,Instagram,"Website, Pinterest",Carousel,Idea Bank,P1 - next best move,Expand to per-post creative brief and find close-up dot visual,Needs visual source,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,First launch candidate.,First launch candidate.,Evergreen,,,Choose or provide a close-up Queen Anne's lace dot visual,2026-08-14,,,,,,,,,,,,
BW-HQ-042,Instagram,Post,3 Things You Didn't Know About Marigolds,Marigold,Instagram,"Website, Pinterest",Carousel,Idea Bank,P1 - next best move,Expand to creative brief from existing dossier,Needs visual source,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Use existing article/dossier.,Use existing article/dossier.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-043,Instagram,Post,6 Flowers For When You Feel Overwhelmed,Quiz / emotional flowers,Instagram,Website,Carousel,Idea Bank,P2 - strong backlog,Choose flower list and source-check meanings,Needs flower selection,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Quiz-adjacent.,Quiz-adjacent.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-044,Instagram,Post,Flowers Growing In The Cracks: Series Opener,Everyday discoveries,Instagram,Threads,Reel,Idea Bank,P1 - next best move,Capture or select original flower-in-crack visual,Needs original photo/video,Susy,Quick capture block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Good account texture.,Good account texture.,Evergreen,,,Capture or choose original flower-in-crack visual,2026-08-14,,,,,,,,,,,,
BW-HQ-045,Instagram,Post,7 Ways You Could Be Using Marigold,Marigold,Instagram,"Website, Pinterest",Carousel,Idea Bank,P2 - strong backlog,Define seven safe/useful lanes,Needs safety/culture framing,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Useful but careful.,Useful but careful.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-046,Instagram,Post,What Dandelions Teach Us About Resilience,Dandelion,Instagram,Threads,Simple photo / field note,Idea Bank,P2 - strong backlog,Write short field-note caption after image selected,Needs dandelion image,Susy + Codex,Quick capture block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"Keep grounded, not generic.","Keep grounded, not generic.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-047,Instagram,Post,Pick A Flower And Get Your Message,Quiz,Instagram,Website,Carousel,Idea Bank,P2 - strong backlog,Choose 3-5 quiz flowers and draft snippets,Needs flower set,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"Message, not personality label.","Message, not personality label.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-048,Instagram,Post,Why Roses Became The Flower Of Love,Rose,Instagram,"Website, Pinterest",Carousel,Needs Research,P2 - strong backlog,Research rose love-symbolism angle,Needs research pass,Codex,Research block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"Familiar doorway, needs non-generic take.","Familiar doorway, needs non-generic take.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-049,Instagram,Post,3 Strange Things About Poppies,Poppy,Instagram,"Website, Pinterest",Reel,Needs Research,P2 - strong backlog,Source-check three poppy facts,Needs source pass,Codex,Research block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Respect medicine/remembrance context.,Respect medicine/remembrance context.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-050,Instagram,Post,"If Lavender Caught Your Eye, Here's The Message",Lavender,Instagram,Website,Carousel,Needs Research,P2 - strong backlog,Pick lavender message angle and source-check,Needs source pass,Codex,Research block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Avoid wellness cliche.,Avoid wellness cliche.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-051,Instagram,Post,Flower Finds From My Walk,Everyday discoveries,Instagram,Threads,Simple photo / field note,Idea Bank,P2 - strong backlog,Select first walk photo,Needs original photo,Susy,Quick capture block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Lived-in account texture.,Lived-in account texture.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-052,Instagram,Post,"What A Florist, Herbalist, And Chef Notice About Roses",Rose,Instagram,"Website, Pinterest",Reel,Needs Research,P2 - strong backlog,Research three expert lenses,Needs source pass,Codex,Research block,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Expert-lens variety is the point.,Expert-lens variety is the point.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-053,Instagram,Post,Your Zodiac Sign As A Flower,Zodiac flowers,Instagram,Website,Carousel,Idea Bank,P3 - someday / parking lot,Map signs to flowers with playful caveat tone,Needs mapping,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Use as interactive later.,Use as interactive later.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-054,Instagram,Post,The Hidden Meaning Of Hibiscus,Hibiscus,Instagram,"Website, Pinterest",Carousel,Idea Bank,P2 - strong backlog,Audit existing hibiscus article angle before repurpose,Needs quality check,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"Existing article exists, likely needs refresh.","Existing article exists, likely needs refresh.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-055,Instagram,Post,6 Flowers For When You Feel Stuck,Quiz / emotional flowers,Instagram,Website,Carousel,Idea Bank,P3 - someday / parking lot,Choose flowers and distinct emotional jobs,Needs flower selection,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Quiz-adjacent.,Quiz-adjacent.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-056,Instagram,Post,"Flowers Growing In The Cracks: Tiny Bloom, Hard Place",Everyday discoveries,Instagram,Threads,Reel,Idea Bank,P3 - someday / parking lot,Capture concrete/curb/wall bloom visual,Needs original visual,Susy,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Series extension.,Series extension.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-057,Instagram,Post,3 Bouquet Ideas Inspired By Cosmos,Cosmos,Instagram,"Website, Pinterest",Carousel,Needs Research,P2 - strong backlog,Research bouquet design angle,Needs florist/design research,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Links to Cosmos dossier.,Links to Cosmos dossier.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-058,Instagram,Post,A Reminder From The Flower You Almost Walked Past,Everyday discoveries,Instagram,Threads,Simple photo / field note,Idea Bank,P3 - someday / parking lot,Write field-note caption after photo exists,Needs original photo,Susy + Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Pure voice/affinity post.,Pure voice/affinity post.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-059,Instagram,Post,"Choose One: Hellebore, Snowdrop, Or Foxglove",Quiz,Instagram,Website,Carousel,Idea Bank,P3 - someday / parking lot,Draft result snippets with foxglove safety caveat,Needs copy and visuals,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Quiz path.,Quiz path.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-060,Instagram,Post,What Marigolds Symbolize Across Cultures,Marigold,Instagram,"Website, Pinterest",Carousel,Idea Bank,P2 - strong backlog,Build culture-by-context slide plan,Needs careful cultural framing,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Meaning changes by context.,Meaning changes by context.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-061,Instagram,Post,3 Things You Didn't Know About Bougainvillea,Bougainvillea,Instagram,"Website, Pinterest",Reel,Needs Research,P3 - someday / parking lot,Source-check bract/fact set,Needs source pass,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Botanical surprise.,Botanical surprise.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-062,Instagram,Post,6 Flowers For Craving A Fresh Start,Quiz / emotional flowers,Instagram,Website,Carousel,Idea Bank,P3 - someday / parking lot,Choose renewal flowers,Needs flower selection,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"Gentle beginning, not hustle reset.","Gentle beginning, not hustle reset.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-063,Instagram,Post,Garden Corner Field Note: The Flower You Almost Missed,Everyday discoveries,Instagram,Threads,Simple photo / field note,Idea Bank,P3 - someday / parking lot,Select original garden-corner photo,Needs original photo,Susy,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Almost-missed feeling is the content.,Almost-missed feeling is the content.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-064,Instagram,Post,Ways You Could Use Lavender Without Making It Boring,Lavender,Instagram,"Website, Pinterest",Carousel,Needs Research,P3 - someday / parking lot,Define safe use lanes,Needs source pass,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Useful but not wellness cliche.,Useful but not wellness cliche.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-065,Instagram,Post,What Sunflowers Teach About Turning Toward Light,Sunflower,Instagram,Website,Carousel,Needs Research,P3 - someday / parking lot,Check heliotropism nuance,Needs source pass,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Avoid simplistic sunshine quote.,Avoid simplistic sunshine quote.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-066,Instagram,Post,Find Your Flower Meaning,Flower Meaning Guide,Instagram,Website,Reel,Idea Bank,P2 - strong backlog,Draft Reel beat sheet,Needs visual sequence,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Guide CTA.,Guide CTA.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-067,Instagram,Post,"Queen Anne's Lace: Blood, Fairy Seat, Or Insect Trick?",Queen Anne's Lace,Instagram,"Website, Pinterest",Carousel,Idea Bank,P2 - strong backlog,Build slide plan from claim matrix,Needs close-up visual,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Uncertainty is part of intrigue.,Uncertainty is part of intrigue.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-068,Instagram,Post,Sidewalk Bouquet Palette From One Block,Everyday discoveries,Instagram,"Pinterest, Threads",Carousel,Idea Bank,P3 - someday / parking lot,Capture one-walk photo set,Needs original photos,Susy,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,"One block, one palette.","One block, one palette.",Evergreen,,,,2026-08-14,,,,,,,,,,,,
